# REAL DATA, EHT 2019 M87* image (ESO press release)
# Generated by: /scripts/fetch/eht_m87_to_csv.py
# To regenerate: see /scripts/fetch/eht_m87.md
# Real source: EHT Collaboration et al. (2019) ApJL 875, L1; ESO release eso1907a
# Schema: x_uas, y_uas, intensity (normalized, 0..1). FoV 100.0 μas
# Grid: 200x200 cells, 40000 pixels
x_uas,y_uas,intensity
15.327,48.492,0.0431
15.829,48.492,0.0431
16.332,48.492,0.0392
16.834,48.492,0.0431
17.337,48.492,0.0431
17.839,48.492,0.0431
18.342,48.492,0.0431
18.844,48.492,0.0431
19.347,48.492,0.0431
19.849,48.492,0.0431
20.352,48.492,0.0392
20.854,48.492,0.0431
21.357,48.492,0.0431
21.859,48.492,0.0431
22.362,48.492,0.0431
22.864,48.492,0.0431
23.367,48.492,0.0431
23.869,48.492,0.0431
24.372,48.492,0.0431
24.874,48.492,0.0431
25.377,48.492,0.0431
25.879,48.492,0.0431
26.382,48.492,0.0431
26.884,48.492,0.0431
27.387,48.492,0.0431
27.889,48.492,0.0431
28.392,48.492,0.0431
28.894,48.492,0.0431
29.397,48.492,0.0431
29.899,48.492,0.0431
30.402,48.492,0.0431
30.905,48.492,0.0431
31.407,48.492,0.0431
31.910,48.492,0.0431
32.412,48.492,0.0431
32.915,48.492,0.0431
33.417,48.492,0.0431
33.920,48.492,0.0431
34.422,48.492,0.0431
34.925,48.492,0.0431
35.427,48.492,0.0431
35.930,48.492,0.0431
36.432,48.492,0.0431
36.935,48.492,0.0431
37.437,48.492,0.0431
37.940,48.492,0.0431
38.442,48.492,0.0431
38.945,48.492,0.0431
39.447,48.492,0.0431
39.950,48.492,0.0431
40.452,48.492,0.0431
40.955,48.492,0.0431
41.457,48.492,0.0392
41.960,48.492,0.0431
42.462,48.492,0.0431
42.965,48.492,0.0431
43.467,48.492,0.0431
43.970,48.492,0.0431
44.472,48.492,0.0392
44.975,48.492,0.0431
45.477,48.492,0.0431
45.980,48.492,0.0431
46.482,48.492,0.0431
46.985,48.492,0.0431
47.487,48.492,0.0431
47.990,48.492,0.0392
48.492,48.492,0.0431
48.995,48.492,0.0431
49.497,48.492,0.0431
50.000,48.492,0.0392
-50.000,47.990,0.0392
-49.497,47.990,0.0431
-48.995,47.990,0.0431
-48.492,47.990,0.0392
-47.990,47.990,0.0392
-47.487,47.990,0.0431
-46.985,47.990,0.0431
-46.482,47.990,0.0431
-45.980,47.990,0.0431
-45.477,47.990,0.0431
-44.975,47.990,0.0431
-44.472,47.990,0.0431
-43.970,47.990,0.0431
-43.467,47.990,0.0431
-42.965,47.990,0.0431
-42.462,47.990,0.0431
-41.960,47.990,0.0431
-41.457,47.990,0.0431
-40.955,47.990,0.0431
-40.452,47.990,0.0431
-39.950,47.990,0.0431
-39.447,47.990,0.0431
-38.945,47.990,0.0431
-38.442,47.990,0.0431
-37.940,47.990,0.0431
-37.437,47.990,0.0431
-36.935,47.990,0.0431
-36.432,47.990,0.0431
-35.930,47.990,0.0431
-35.427,47.990,0.0431
-34.925,47.990,0.0431
-34.422,47.990,0.0431
-33.920,47.990,0.0431
-33.417,47.990,0.0431
-32.915,47.990,0.0431
-32.412,47.990,0.0431
-31.910,47.990,0.0431
-31.407,47.990,0.0431
-30.905,47.990,0.0431
-30.402,47.990,0.0431
-29.899,47.990,0.0431
-29.397,47.990,0.0431
-28.894,47.990,0.0431
-28.392,47.990,0.0431
-27.889,47.990,0.0431
-27.387,47.990,0.0431
-26.884,47.990,0.0431
-26.382,47.990,0.0392
-25.879,47.990,0.0431
-25.377,47.990,0.0431
-24.874,47.990,0.0431
-24.372,47.990,0.0431
-23.869,47.990,0.0431
-23.367,47.990,0.0431
-22.864,47.990,0.0431
-22.362,47.990,0.0431
-21.859,47.990,0.0431
-21.357,47.990,0.0392
-20.854,47.990,0.0431
-20.352,47.990,0.0431
-19.849,47.990,0.0392
-19.347,47.990,0.0431
-18.844,47.990,0.0431
-18.342,47.990,0.0431
-17.839,47.990,0.0431
-17.337,47.990,0.0431
-16.834,47.990,0.0431
-16.332,47.990,0.0431
-15.829,47.990,0.0431
-15.327,47.990,0.0431
-14.824,47.990,0.0431
-14.322,47.990,0.0431
-13.819,47.990,0.0431
-13.317,47.990,0.0431
-12.814,47.990,0.0431
-12.312,47.990,0.0431
-11.809,47.990,0.0431
-11.307,47.990,0.0431
-10.804,47.990,0.0431
-10.302,47.990,0.0392
-9.799,47.990,0.0392
-9.296,47.990,0.0431
-8.794,47.990,0.0431
-8.291,47.990,0.0431
-7.789,47.990,0.0431
-7.286,47.990,0.0431
-6.784,47.990,0.0431
-6.281,47.990,0.0431
-5.779,47.990,0.0431
-5.276,47.990,0.0392
-4.774,47.990,0.0431
-4.271,47.990,0.0431
-3.769,47.990,0.0431
-3.266,47.990,0.0431
-2.764,47.990,0.0431
-2.261,47.990,0.0431
-1.759,47.990,0.0431
-1.256,47.990,0.0431
-0.754,47.990,0.0431
-0.251,47.990,0.0431
0.251,47.990,0.0431
0.754,47.990,0.0431
1.256,47.990,0.0431
1.759,47.990,0.0431
2.261,47.990,0.0431
2.764,47.990,0.0431
3.266,47.990,0.0431
3.769,47.990,0.0431
4.271,47.990,0.0431
4.774,47.990,0.0431
5.276,47.990,0.0431
5.779,47.990,0.0392
6.281,47.990,0.0431
6.784,47.990,0.0431
7.286,47.990,0.0392
7.789,47.990,0.0431
8.291,47.990,0.0431
8.794,47.990,0.0431
9.296,47.990,0.0431
9.799,47.990,0.0431
10.302,47.990,0.0431
10.804,47.990,0.0431
11.307,47.990,0.0431
11.809,47.990,0.0431
12.312,47.990,0.0431
12.814,47.990,0.0431
13.317,47.990,0.0431
13.819,47.990,0.0392
14.322,47.990,0.0431
14.824,47.990,0.0431
15.327,47.990,0.0431
15.829,47.990,0.0431
16.332,47.990,0.0431
16.834,47.990,0.0431
17.337,47.990,0.0392
17.839,47.990,0.0431
18.342,47.990,0.0431
18.844,47.990,0.0431
19.347,47.990,0.0431
19.849,47.990,0.0431
20.352,47.990,0.0431
20.854,47.990,0.0431
21.357,47.990,0.0431
21.859,47.990,0.0431
22.362,47.990,0.0431
22.864,47.990,0.0431
23.367,47.990,0.0431
23.869,47.990,0.0431
