# REAL DATA, Pantheon+SH0ES (Brout et al. 2022)
# Fetched from: github.com/PantheonPlusSH0ES/DataRelease (Pantheon+SH0ES.dat)
# To replace or rebuild: see /scripts/fetch/pantheon.md
# Real source: Brout et al. (2022) ApJ 938, 110; doi:10.3847/1538-4357/ac8e04
# Schema: z (zHD, CMB+peculiar-v corrected redshift), mu (MU_SH0ES, mag), sigma (MU_SH0ES_ERR_DIAG, mag)
# Filter: IS_CALIBRATOR==0 & zHD >= 0.005 (1619 of 1701 SNe retained); sorted by z
z,mu,sigma
0.1717,39.460,0.215
0.1726,39.502,0.177
0.1727,39.268,0.152
0.1730,39.726,0.253
0.1733,39.387,0.132
0.1737,39.540,0.183
0.1738,39.349,0.152
0.1739,39.599,0.319
0.1742,39.573,0.137
0.1742,39.332,0.154
0.1744,39.505,0.184
0.1744,39.555,0.231
0.1744,39.485,0.163
0.1750,39.743,0.182
0.1767,39.516,0.135
0.1771,39.510,0.176
0.1774,39.477,0.138
0.1779,39.339,0.257
0.1779,39.648,0.132
0.1785,39.967,0.208
0.1790,39.641,0.157
0.1791,39.767,0.201
0.1793,39.535,0.230
0.1795,39.551,0.281
0.1797,39.552,0.175
0.1797,39.596,0.209
0.1800,39.998,0.268
0.1805,39.369,0.138
0.1807,39.504,0.134
0.1808,39.717,0.179
0.1808,39.639,0.134
0.1809,39.615,0.246
0.1809,39.621,0.208
0.1813,39.658,0.226
0.1814,39.487,0.134
0.1815,39.395,0.235
0.1822,39.586,0.201
0.1823,39.526,0.150
0.1823,39.688,0.152
0.1825,39.782,0.177
0.1836,39.599,0.294
0.1837,39.680,0.152
0.1839,39.752,0.197
0.1840,39.796,0.218
0.1846,39.938,0.282
0.1846,39.789,0.143
0.1848,39.655,0.277
0.1849,39.613,0.135
0.1851,39.743,0.159
0.1852,39.635,0.160
0.1852,39.543,0.172
0.1853,39.788,0.139
0.1867,39.756,0.145
0.1873,39.769,0.137
0.1881,39.745,0.191
0.1891,39.438,0.150
0.1891,39.809,0.256
0.1893,39.936,0.229
0.1893,40.141,0.201
0.1895,39.741,0.209
0.1895,39.762,0.239
0.1900,39.729,0.225
0.1903,39.881,0.158
0.1904,39.689,0.295
0.1904,39.918,0.155
0.1941,39.798,0.219
0.1943,39.879,0.222
0.1955,40.134,0.404
0.1955,39.711,0.157
0.1956,39.908,0.196
0.1957,39.958,0.212
0.1962,39.729,0.125
0.1962,39.775,0.158
0.1963,39.840,0.255
0.1963,39.893,0.293
0.1973,39.802,0.142
0.1974,39.693,0.131
0.1978,39.492,0.189
0.1982,39.756,0.183
0.1983,39.888,0.174
0.1986,40.325,0.239
0.1988,39.888,0.211
0.1988,39.889,0.175
0.1991,40.022,0.218
0.1995,39.851,0.254
0.1996,39.676,0.246
0.1997,39.897,0.172
0.2008,39.684,0.195
0.2008,39.984,0.253
0.2009,39.767,0.316
0.2013,39.858,0.217
0.2023,39.618,0.198
0.2025,39.995,0.160
0.2028,39.837,0.185
0.2032,39.966,0.147
0.2033,39.882,0.167
0.2033,39.928,0.174
0.2033,39.934,0.216
0.2038,39.904,0.171
0.2047,39.881,0.160
0.2048,39.843,0.202
0.2052,40.166,0.228
0.2056,39.813,0.175
0.2069,39.922,0.280
0.2075,40.316,0.334
0.2075,40.072,0.149
0.2084,39.730,0.272
0.2086,39.876,0.147
0.2087,40.103,0.240
0.2087,39.864,0.198
0.2088,39.880,0.160
0.2095,39.841,0.262
0.2102,40.148,0.149
0.2104,39.454,0.186
0.2108,39.963,0.223
0.2109,39.806,0.156
0.2111,39.955,0.163
0.2113,40.142,0.266
0.2117,39.968,0.230
0.2120,39.914,0.194
0.2122,39.937,0.244
0.2135,40.022,0.165
0.2137,40.008,0.190
0.2140,39.887,0.197
0.2144,40.018,0.299
0.2151,39.883,0.478
0.2152,40.464,0.229
0.2158,40.225,0.259
0.2165,39.825,0.142
0.2169,40.067,0.190
0.2169,40.093,0.185
0.2174,40.139,0.270
0.2179,39.994,0.175
0.2185,40.222,0.204
0.2188,40.142,0.248
0.2190,40.193,0.241
0.2190,40.129,0.219
0.2190,40.030,0.131
0.2194,40.005,0.209
0.2195,40.110,0.160
0.2197,40.062,0.124
0.2198,40.088,0.173
0.2199,40.239,0.220
0.2202,39.923,0.243
0.2207,40.188,0.225
0.2208,40.080,0.267
0.2213,40.044,0.143
0.2213,40.059,0.205
0.2215,40.194,0.166
0.2230,40.326,0.281
0.2235,40.151,0.167
0.2238,40.016,0.173
0.2245,39.945,0.246
0.2245,40.129,0.197
0.2249,40.113,0.161
0.2254,40.149,0.174
0.2254,40.133,0.189
0.2255,40.186,0.197
0.2258,39.986,0.176
0.2265,40.391,0.201
0.2273,40.097,0.228
0.2282,40.224,0.183
0.2286,40.160,0.308
0.2293,40.223,0.202
0.2298,40.135,0.188
0.2302,40.128,0.227
0.2304,40.306,0.260
0.2308,40.072,0.297
0.2309,40.105,0.205
